clusterChargeCut
numModules 1789
 i moduleStart[i+1]  moduleid[i]  nClustersInModule[i]
0 0 21 6
1 142 22 14
2 334 148 19
3 375 149 25
4 404 150 36
5 418 151 25
6 451 788 12
7 453 789 10
8 458 790 20
9 475 791 20
10 487 796 21
11 491 797 42
12 516 798 37
13 523 799 31
14 534 23 25
15 684 140 12
16 729 141 24
17 752 142 30
18 790 143 22
19 839 404 37
20 850 405 26
21 863 406 32
22 888 772 25
23 897 773 15
24 904 774 13
25 910 775 21
26 914 780 24
27 921 781 39
28 926 782 36
29 927 783 29
30 936 372 18
31 940 373 14
32 949 374 6
33 986 375 20
34 989 380 17
35 998 381 28
36 1004 382 36
37 1012 383 29
38 1027 396 13
39 1048 397 10
40 1082 398 14
41 1087 399 15
42 1096 14 20
43 1289 20 34
44 1363 132 43
45 1377 133 33
46 1437 134 10
47 1456 135 8
48 1495 756 22
49 1497 758 12
50 1502 764 14
51 1504 765 28
52 1510 766 43
53 1526 767 29
54 1542 15 18
55 1726 124 13
56 1742 125 26
57 1794 126 29
58 1836 127 25
59 1855 388 48
60 1865 389 42
61 1884 390 25
62 1892 391 21
63 1907 740 9
64 1913 742 7
65 1922 743 18
66 1924 748 25
67 1927 749 30
68 1929 750 37
69 1937 751 18
70 1944 12 16
71 2051 13 7
72 2237 116 18
73 2251 117 12
74 2273 118 21
75 2313 119 53
76 2346 724 47
77 2369 727 24
78 2378 732 20
79 2386 733 13
80 2390 734 11
81 2394 735 21
82 2406 7 22
83 2523 348 46
84 2537 349 45
85 2551 350 9
86 2567 351 12
87 2592 356 7
88 2600 357 19
89 2602 358 18
90 2607 359 28
91 2616 364 45
92 2638 365 33
93 2654 366 24
94 2674 367 8
95 2740 708 24
96 2744 709 8
97 2750 710 8
98 2762 711 10
99 2769 716 5
100 2773 717 11
101 2785 718 6
102 2786 719 3
103 2790 4 10
104 2911 5 5
105 3052 108 7
106 3084 109 11
107 3091 110 10
108 3141 111 13
109 3173 692 3
110 3176 693 9
111 3182 694 5
112 3198 695 5
113 3199 700 4
114 3206 701 12
115 3213 702 11
116 3220 703 6
117 3224 6 7
118 3314 100 7
119 3346 101 7
120 3366 102 8
121 3381 103 11
122 3437 340 11
123 3450 341 11
124 3461 342 5
125 3484 343 10
126 3494 676 5
127 3500 677 4
128 3505 679 5
129 3518 684 6
130 3528 685 12
131 3539 686 12
132 3565 687 7
133 3572 324 19
134 3580 325 5
135 3593 326 8
136 3613 327 5
137 3620 332 15
138 3631 333 7
139 3639 334 18
140 3705 335 17
141 3714 29 8
142 3864 30 9
143 3999 156 8
144 4021 157 6
145 4058 158 6
146 4081 159 9
147 4092 804 6
148 4093 805 10
149 4103 807 11
150 4110 812 4
151 4127 813 6
152 4134 814 9
153 4138 815 12
154 4142 31 16
155 4329 164 7
156 4341 165 8
157 4377 166 13
158 4408 167 6
159 4412 412 3
160 4432 413 3
161 4439 414 7
162 4468 415 5
163 4483 820 15
164 4487 821 5
165 4492 822 13
166 4503 823 8
167 4505 828 1
168 4512 829 5
169 4515 830 9
170 4537 831 3
171 4544 420 7
172 4562 421 14
173 4576 422 7
174 4609 423 8
175 4612 436 6
176 4635 437 4
177 4655 438 5
178 4673 439 13
179 4683 444 13
180 4695 445 5
181 4720 446 12
182 4752 447 9
183 4762 28 8
184 4891 38 4
185 5023 172 9
186 5065 173 15
187 5087 174 11
188 5130 175 9
189 5170 836 13
190 5177 837 12
191 5185 838 8
192 5198 839 4
193 5203 844 8
194 5217 845 6
195 5219 846 19
196 5222 39 14
197 5342 180 6
198 5350 181 10
199 5398 182 5
200 5436 183 7
201 5486 428 12
202 5501 429 9
203 5523 430 14
204 5566 431 8
205 5589 852 15
206 5604 853 6
207 5607 854 11
208 5615 855 7
209 5617 860 6
210 5626 861 8
211 5640 862 19
212 5645 863 10
213 5650 36 17
214 5759 37 11
215 5902 188 10
216 5922 189 6
217 5965 190 3
218 6007 191 13
219 6045 868 22
220 6053 869 15
221 6057 870 7
222 6060 871 7
223 6069 876 5
224 6073 877 3
225 6094 878 4
226 6100 879 8
227 6106 47 23
228 6204 452 12
229 6218 453 12
230 6236 454 7
231 6251 455 7
232 6268 460 8
233 6284 461 6
234 6301 462 8
235 6311 463 4
236 6345 468 16
237 6367 469 5
238 6432 470 4
239 6450 471 16
240 6470 885 7
241 6489 886 11
242 6495 887 6
243 6503 892 6
244 6508 893 21
245 6520 894 3
246 6527 895 3
247 6532 44 7
248 6665 45 7
249 6815 196 12
250 6854 197 8
251 6872 198 16
252 6919 199 15
253 6948 900 9
254 6953 901 10
255 6969 902 5
256 6975 903 13
257 6988 908 6
258 6994 909 13
259 7008 910 10
260 7010 911 10
261 7014 46 3
262 7108 204 2
263 7129 205 7
264 7174 206 4
265 7193 207 9
266 7261 476 4
267 7272 477 17
268 7284 478 10
269 7309 479 10
270 7374 916 7
271 7378 917 9
272 7382 918 3
273 7414 924 1
274 7416 925 7
275 7437 926 20
276 7447 927 9
277 7452 484 3
278 7456 485 6
279 7472 486 2
280 7481 487 6
281 7502 492 3
282 7518 493 20
283 7537 494 15
284 7571 495 14
285 7576 76 11
286 7715 77 5
287 7851 276 7
288 7871 277 5
289 7886 278 21
290 7924 279 15
291 7932 1076 21
292 7938 1077 8
293 7941 1078 8
294 7958 1084 5
295 7964 1085 6
296 7974 1086 2
297 7994 1087 8
298 8042 78 10
299 8250 268 17
300 8273 269 16
301 8306 270 10
302 8363 271 4
303 8441 596 1
304 8473 597 10
305 8490 598 8
306 8497 599 8
307 8506 1060 12
308 8509 1061 7
309 8518 1062 4
310 8524 1063 1
311 8536 1068 4
312 8541 1069 2
313 8545 1070 6
314 8552 1071 12
315 8560 588 7
316 8583 589 11
317 8596 590 5
318 8616 591 10
319 8621 604 11
320 8636 605 2
321 8652 606 4
322 8702 607 5
323 8710 612 4
324 8718 613 4
325 8747 614 3
326 8762 615 3
327 8778 84 2
328 8928 85 9
329 8965 292 2
330 8984 293 3
331 9012 294 3
332 9031 295 5
333 9054 1108 3
334 9063 1109 2
335 9075 1110 2
336 9087 1111 2
337 9108 1116 4
338 9114 1117 9
339 9118 1118 2
340 9122 1119 5
341 9140 79 3
342 9290 284 5
343 9326 285 3
344 9355 286 2
345 9376 287 3
346 9388 620 6
347 9399 621 7
348 9424 622 5
349 9443 623 5
350 9472 1092 4
351 9481 1093 5
352 9492 1094 3
353 9505 1095 3
354 9543 1100 6
355 9556 1101 3
356 9566 1102 2
357 9573 1103 1
358 9578 86 1
359 9674 92 2
360 9777 300 3
361 9829 301 2
362 9875 302 9
363 9893 303 6
364 9895 1141 6
365 9898 1142 3
366 9908 1148 6
367 9911 1149 7
368 9920 87 0
369 10022 628 4
370 10031 629 2
371 10046 630 3
372 10065 631 2
373 10125 636 4
374 10131 637 7
375 10141 638 1
376 10161 639 1
377 10165 645 3
378 10174 646 10
379 10186 647 7
380 10195 1124 4
381 10201 1125 3
382 10216 1126 3
383 10232 1127 3
384 10244 1132 2
385 10246 1133 4
386 10250 1134 3
387 10270 1135 6
388 10274 93 4
389 10404 94 5
390 10480 316 2
391 10511 317 3
392 10533 318 3
393 10592 319 2
394 10649 1172 4
395 10662 1173 4
396 10667 1174 7
397 10673 1180 11
398 10679 1182 2
399 10688 1183 2
400 10704 95 3
401 11085 308 3
402 11106 309 2
403 11122 310 4
404 11127 311 5
405 11148 668 5
406 11160 670 6
407 11167 671 0
408 11188 1156 3
409 11190 1157 1
410 11192 1158 4
411 11194 1159 3
412 11199 1164 6
413 11201 1165 3
414 11206 1167 8
415 11210 652 4
416 11218 653 3
417 11225 654 5
418 11243 655 14
419 11253 660 3
420 11267 661 7
421 11277 662 4
422 11289 663 7
423 11322 68 1
424 11442 69 1
425 11533 252 1
426 11570 253 4
427 11600 254 5
428 11640 255 3
429 11663 1029 8
430 11669 1030 9
431 11678 1031 4
432 11681 1036 2
433 11685 1037 0
434 11699 1038 7
435 11702 1039 3
436 11708 70 8
437 11819 260 7
438 11847 261 8
439 11856 262 2
440 11860 263 6
441 11894 572 5
442 11909 573 4
443 11928 574 5
444 11938 575 6
445 11949 1044 8
446 11961 1045 9
447 11974 1046 2
448 11979 1047 0
449 11987 1052 6
450 12000 1053 10
451 12012 1054 3
452 12024 1055 4
453 12032 556 4
454 12045 557 4
455 12061 558 3
456 12070 559 2
457 12086 564 4
458 12093 565 6
459 12129 566 4
460 12155 567 6
461 12188 580 5
462 12199 581 2
463 12208 582 7
464 12217 583 7
465 12218 60 4
466 12341 61 3
467 12475 236 5
468 12518 237 8
469 12539 238 12
470 12574 239 4
471 12664 996 4
472 12667 997 4
473 12676 998 2
474 12678 999 3
475 12683 1004 1
476 12691 1006 4
477 12702 71 3
478 12776 244 6
479 12834 245 12
480 12840 246 7
481 12851 247 3
482 12900 548 5
483 12911 549 3
484 12940 550 2
485 12948 551 7
486 12957 1012 3
487 12959 1013 7
488 12965 1014 2
489 12983 1015 3
490 12991 1020 6
491 12993 1021 7
492 13001 1022 5
493 13007 1023 6
494 13014 52 7
495 13168 62 2
496 13322 228 4
497 13359 229 11
498 13405 230 6
499 13446 231 9
500 13498 964 7
501 13503 965 5
502 13539 966 13
503 13546 967 6
504 13556 972 3
505 13585 973 2
506 13599 974 3
507 13610 975 3
508 13616 63 8
509 13712 524 4
510 13727 525 4
511 13745 526 3
512 13759 527 1
513 13786 532 7
514 13794 533 4
515 13817 534 7
516 13829 535 10
517 13838 540 9
518 13854 541 5
519 13869 542 11
520 13884 543 3
521 13887 980 6
522 13908 981 10
523 13915 982 4
524 13925 988 6
525 14044 990 7
526 14052 991 3
527 14054 53 4
528 14209 54 6
529 14335 212 3
530 14383 213 7
531 14449 214 4
532 14505 215 4
533 14553 932 7
534 14556 933 3
535 14560 934 2
536 14569 935 2
537 14588 940 4
538 14598 941 6
539 14607 942 0
540 14613 943 7
541 14630 55 6
542 14727 220 3
543 14761 221 1
544 14784 222 2
545 14812 223 4
546 14848 500 3
547 14863 501 3
548 14933 502 4
549 14987 503 6
550 15055 948 2
551 15073 949 3
552 15090 950 1
553 15093 956 3
554 15111 957 1
555 15125 958 6
556 15132 959 5
557 15138 508 4
558 15166 509 3
559 15179 510 3
560 15196 511 2
561 15206 516 5
562 15236 517 3
563 15274 518 5
564 15294 519 3
565 15334 17 9
566 15592 18 7
567 15709 144 6
568 15741 145 3
569 15779 146 8
570 15820 147 8
571 15840 784 2
572 15848 785 5
573 15858 786 7
574 15867 792 4
575 15883 793 4
576 15889 794 3
577 15892 795 2
578 15894 16 9
579 16120 136 9
580 16143 137 6
581 16206 138 3
582 16226 139 2
583 16284 400 1
584 16307 401 6
585 16316 402 1
586 16324 403 6
587 16333 768 15
588 16343 769 8
589 16347 770 4
590 16356 771 5
591 16358 776 1
592 16367 777 2
593 16375 778 4
594 16385 779 5
595 16394 369 16
596 16408 370 12
597 16415 371 4
598 16425 376 2
599 16427 377 2
600 16436 378 2
601 16501 379 2
602 16530 392 10
603 16545 393 10
604 16553 394 7
605 16566 395 3
606 16580 9 4
607 16719 19 2
608 16839 128 5
609 16867 129 3
610 16899 130 5
611 16931 131 10
612 16966 752 4
613 16970 753 7
614 16981 754 3
615 16984 755 3
616 16987 760 2
617 17001 761 3
618 17003 762 3
619 17008 763 7
620 17010 8 4
621 17211 120 6
622 17265 121 5
623 17336 122 3
624 17379 123 4
625 17426 384 5
626 17437 385 6
627 17455 386 3
628 17466 387 4
629 17479 736 6
630 17497 737 5
631 17510 738 8
632 17518 739 2
633 17523 744 3
634 17526 745 5
635 17530 746 6
636 17534 747 3
637 17536 10 4
638 17715 11 5
639 17924 112 1
640 17957 113 3
641 17983 114 2
642 18030 115 6
643 18060 720 12
644 18065 721 0
645 18068 722 3
646 18078 728 3
647 18084 729 3
648 18097 730 5
649 18113 731 1
650 18118 0 5
651 18175 344 7
652 18180 345 4
653 18198 346 2
654 18217 347 4
655 18237 352 2
656 18251 353 4
657 18265 354 3
658 18313 355 2
659 18367 360 4
660 18375 361 5
661 18381 362 3
662 18416 363 2
663 18435 704 7
664 18446 705 2
665 18468 706 6
666 18471 707 2
667 18473 712 3
668 18486 714 5
669 18510 2 0
670 18652 3 2
671 18749 104 6
672 18791 105 1
673 18849 106 0
674 18896 107 1
675 18922 690 2
676 18928 691 3
677 18931 696 3
678 18937 697 0
679 18941 698 4
680 18942 699 2
681 18946 1 2
682 19070 96 2
683 19115 97 1
684 19154 98 6
685 19185 99 5
686 19198 336 6
687 19209 337 1
688 19231 338 0
689 19262 339 0
690 19269 672 2
691 19274 674 1
692 19280 675 1
693 19284 680 2
694 19291 681 4
695 19299 682 1
696 19305 683 2
697 19308 320 1
698 19318 321 1
699 19327 322 2
700 19344 323 4
701 19354 328 3
702 19399 329 2
703 19411 330 1
704 19419 331 3
705 19430 25 6
706 19585 26 1
707 19777 152 1
708 19823 153 2
709 19888 154 2
710 19949 155 3
711 19964 800 1
712 19984 801 2
713 19991 802 0
714 19996 803 7
715 20006 808 0
716 20015 809 2
717 20026 810 3
718 20029 811 1
719 20032 24 2
720 20206 160 1
721 20229 161 1
722 20277 162 4
723 20290 163 0
724 20340 408 5
725 20357 409 0
726 20362 410 0
727 20373 411 2
728 20387 816 2
729 20396 818 3
730 20404 819 5
731 20408 826 2
732 20412 827 4
733 20426 416 2
734 20440 417 2
735 20455 418 3
736 20526 419 1
737 20533 432 3
738 20540 434 2
739 20569 435 2
740 20577 440 3
741 20609 441 0
742 20625 442 3
743 20637 443 1
744 20656 27 1
745 20788 33 1
746 21028 168 1
747 21055 169 1
748 21084 170 2
749 21094 171 1
750 21112 832 4
751 21114 833 2
752 21123 834 1
753 21136 835 4
754 21143 840 1
755 21159 841 1
756 21169 842 1
757 21176 843 0
758 21180 32 1
759 21226 176 0
760 21239 177 3
761 21262 178 1
762 21302 179 2
763 21341 424 1
764 21345 425 1
765 21347 426 3
766 21365 427 5
767 21377 848 2
768 21388 849 2
769 21394 850 1
770 21400 856 3
771 21406 857 1
772 21423 858 3
773 21436 859 2
774 21442 34 4
775 21556 35 1
776 21648 184 3
777 21664 185 2
778 21715 186 3
779 21767 187 4
780 21798 864 4
781 21813 865 2
782 21837 866 1
783 21840 867 3
784 21845 872 2
785 21856 874 3
786 21861 875 3
787 21868 40 0
788 22045 449 1
789 22080 450 2
790 22115 451 5
791 22126 456 3
792 22136 457 3
793 22171 458 2
794 22189 459 1
795 22197 464 1
796 22229 465 2
797 22251 466 7
798 22257 467 2
799 22274 881 2
800 22279 882 4
801 22298 883 2
802 22314 888 2
803 22319 889 4
804 22325 890 1
805 22342 42 3
806 22459 43 0
807 22610 192 2
808 22633 193 3
809 22674 194 3
810 22700 195 2
811 22750 896 1
812 22754 898 8
813 22757 905 2
814 22763 907 2
815 22766 41 1
816 22932 200 3
817 22989 201 0
818 23037 202 3
819 23059 203 1
820 23085 472 2
821 23111 473 2
822 23121 474 5
823 23130 475 1
824 23134 912 0
825 23138 913 0
826 23146 914 2
827 23155 915 5
828 23159 920 3
829 23164 921 1
830 23170 922 7
831 23193 923 2
832 23224 480 1
833 23260 481 3
834 23286 482 5
835 23300 483 3
836 23311 488 2
837 23318 489 4
838 23331 490 4
839 23366 491 2
840 23386 74 3
841 23546 75 3
842 23750 272 2
843 23771 273 1
844 23777 274 3
845 23801 275 1
846 23848 1072 1
847 23854 1074 0
848 23857 1075 3
849 23876 1080 1
850 23881 1081 2
851 23887 1082 0
852 23893 1083 4
853 23914 73 2
854 24023 264 3
855 24053 265 1
856 24101 266 1
857 24114 267 5
858 24158 592 5
859 24169 593 2
860 24201 594 4
861 24217 595 5
862 24256 1056 2
863 24260 1057 1
864 24264 1058 4
865 24267 1059 7
866 24284 1064 1
867 24289 1065 1
868 24298 1066 3
869 24304 1067 2
870 24308 584 1
871 24343 585 2
872 24345 586 3
873 24364 587 0
874 24400 600 1
875 24409 601 2
876 24434 602 1
877 24464 603 5
878 24483 608 3
879 24538 609 2
880 24548 610 0
881 24568 611 2
882 24598 82 4
883 24723 83 5
884 24917 288 0
885 24947 289 3
886 25054 290 2
887 25119 291 2
888 25189 1104 1
889 25195 1105 2
890 25213 1106 3
891 25221 1112 0
892 25227 1113 2
893 25236 1114 3
894 25240 1115 3
895 25244 72 1
896 25514 280 1
897 25582 281 0
898 25598 282 1
899 25698 283 0
900 25741 616 2
901 25754 617 2
902 25774 618 2
903 25785 619 5
904 25801 1088 0
905 25817 1089 1
906 25824 1090 0
907 25834 1091 1
908 25841 1096 1
909 25845 1098 2
910 25864 1099 1
911 25880 81 2
912 26051 91 2
913 26254 296 3
914 26261 297 3
915 26289 298 2
916 26326 299 2
917 26399 1136 1
918 26411 1137 6
919 26415 1138 0
920 26430 1139 1
921 26432 1144 3
922 26437 1145 3
923 26444 1146 6
924 26450 80 1
925 26552 624 4
926 26570 625 3
927 26597 626 2
928 26628 627 3
929 26649 632 2
930 26661 633 8
931 26670 634 1
932 26685 635 2
933 26704 640 1
934 26720 641 3
935 26731 642 4
936 26751 643 1
937 26829 1120 2
938 26846 1121 2
939 26869 1122 1
940 26873 1123 4
941 26881 1128 1
942 26886 1129 2
943 26903 1130 4
944 26912 1131 3
945 26924 89 2
946 27078 90 1
947 27254 312 0
948 27265 313 6
949 27287 314 3
950 27337 315 1
951 27355 1168 0
952 27365 1169 1
953 27382 1170 2
954 27385 1171 3
955 27389 1176 2
956 27428 1177 7
957 27435 1178 4
958 27441 1179 2
959 27448 88 2
960 27623 304 1
961 27700 305 1
962 27736 306 4
963 27762 307 5
964 27805 664 2
965 27815 665 3
966 27836 666 2
967 27840 667 2
968 27848 1152 1
969 27857 1153 5
970 27860 1154 3
971 27868 1155 0
972 27869 1160 9
973 27876 1161 6
974 27886 1162 3
975 27890 1163 1
976 27894 648 1
977 27917 649 2
978 27922 650 4
979 27935 651 4
980 27992 656 5
981 28004 657 3
982 28021 658 2
983 28026 659 0
984 28036 66 3
985 28172 67 2
986 28280 248 3
987 28321 249 0
988 28367 250 13
989 28395 251 0
990 28452 1024 2
991 28457 1025 1
992 28465 1026 6
993 28467 1027 1
994 28472 1032 2
995 28569 1033 0
996 28586 1034 1
997 28588 1035 4
998 28590 65 1
999 28778 256 2
1000 28851 257 2
1001 28892 258 1
1002 28942 259 0
1003 28974 568 6
1004 28988 569 1
1005 29028 570 0
1006 29056 571 3
1007 29066 1040 0
1008 29082 1041 4
1009 29088 1042 1
1010 29091 1043 1
1011 29097 1048 4
1012 29114 1049 1
1013 29131 1050 2
1014 29135 1051 6
1015 29142 552 2
1016 29144 553 1
1017 29156 554 1
1018 29160 555 3
1019 29174 560 0
1020 29181 561 1
1021 29196 562 2
1022 29209 563 2
1023 29224 576 2
1024 29234 577 1
1025 29243 578 2
1026 29267 579 1
1027 29296 58 2
1028 29467 59 0
1029 29665 232 1
1030 29702 233 4
1031 29742 234 1
1032 29781 235 4
1033 29800 992 4
1034 29825 993 1
1035 29828 994 1
1036 29832 1000 2
1037 29841 1001 4
1038 29846 1003 1
1039 29864 64 2
1040 29939 240 4
1041 29989 241 2
1042 30022 242 2
1043 30040 243 2
1044 30065 544 3
1045 30075 545 3
1046 30094 546 2
1047 30106 547 3
1048 30113 1008 2
1049 30136 1009 4
1050 30141 1010 2
1051 30146 1011 2
1052 30158 1016 4
1053 30162 1017 3
1054 30164 1018 4
1055 30174 51 1
1056 30273 57 1
1057 30493 224 1
1058 30514 225 1
