fitVertices
foundClusters 23 ntrks  452
chi2Max 50
# i iv zt ezt2
0 9997 -4.0980701 0.00087110646
1 18 1.3181056 0.00080646831
2 3 -1.1399463 0.00012989009
3 18 1.2676343 0.00037310636
4 18 1.2659415 0.0012005927
5 14 4.6501136 6.0483453e-05
6 16 -3.9701779 3.0798539e-05
7 18 1.2853459 3.3023043e-05
8 14 4.6160746 0.00041373775
9 0 1.1543047 7.7770965e-05
10 18 1.2777973 0.00013472009
11 2 -1.7696351 4.7455851e-05
12 14 4.6207399 8.8731089e-05
13 0 1.1503248 8.0771068e-05
14 0 1.1454902 4.8114791e-05
15 20 4.7940125 8.5660795e-05
16 18 1.2785251 6.879837e-05
17 21 10.49307 0.0013815952
18 11 2.1933281 0.00010865052
19 14 4.6356301 0.00012371766
20 19 5.5556822 0.00016697728
21 16 -3.969826 3.1057247e-05
22 16 -3.9772234 0.0001651159
23 9997 2.420264 0.00037913604
24 18 1.2992857 3.4841891e-05
25 14 4.6258221 6.3984502e-05
26 9997 6.6158681 0.00012679634
27 17 0.89695323 0.00039159169
28 18 1.286595 5.4779084e-05
29 18 1.2817533 0.0001145967
30 0 1.1523614 8.6720596e-05
31 21 10.493832 5.4295349e-05
32 9997 2.4209201 0.00010901357
33 21 10.521221 0.00010392061
34 5 -1.6408836 0.001040299
35 5 -1.6593989 0.00052967807
36 14 4.6570206 0.00082949904
37 16 -3.9323654 9.9781726e-05
38 11 2.2093999 0.00011937661
39 1 7.1954813 0.00050322973
40 9 -4.049911 2.5115272e-05
41 15 0.62924743 4.824128e-05
42 19 5.5702801 0.00022248639
43 9 -4.0488443 9.8668701e-05
44 1 7.236722 0.00088195282
45 19 5.5697198 7.7736273e-05
46 11 2.1733644 0.00013173571
47 18 1.2825873 6.4349457e-05
48 19 5.5699363 1.2082369e-05
49 14 4.6313219 2.2352839e-05
50 11 2.188874 4.8630904e-05
51 11 2.2420077 5.8520498e-05
52 1 7.2223001 4.7099791e-05
53 16 -3.9576864 0.00021817363
54 19 5.5585938 6.2437044e-05
55 19 5.5500941 0.00019504652
56 9997 0.04550859 3.5381192e-05
57 18 1.2807357 2.051294e-05
58 1 7.3286285 0.00051453331
59 20 4.80478 0.00042149707
60 18 1.3008537 0.00050539389
61 18 1.279287 0.00017335317
62 0 1.1433184 0.0004761185
63 18 1.2635386 9.7356533e-05
64 19 5.5692291 5.2012176e-05
65 18 1.339224 0.00066447794
66 9 -4.0449147 3.9500701e-05
67 9997 -11.650018 7.8309298e-05
68 2 -1.7332209 0.0004410554
69 11 2.1946182 2.0545476e-05
70 2 -1.7726158 2.548661e-05
71 18 1.2847564 8.3214414e-05
72 5 -1.6602954 3.295975e-05
73 9 -4.0557842 0.00011436319
74 2 -1.7647173 2.1734617e-05
75 11 2.1972151 4.8554721e-05
76 14 4.6565957 6.0640326e-05
77 2 -1.7602627 2.2592103e-05
78 3 -1.1368169 6.8450594e-05
79 2 -1.7495011 0.00022740841
80 19 5.5755277 3.8259572e-05
81 19 5.5651169 8.130377e-06
82 19 5.5749679 1.4908038e-05
83 11 2.1905847 5.8835853e-05
84 11 2.197911 2.9107032e-05
85 16 -3.9710939 9.5286225e-05
86 19 5.5728726 0.00014388055
87 14 4.6605906 0.00016817059
88 21 10.506962 0.00010414368
89 9997 -4.1527743 0.001813684
90 4 4.7357588 1.8260123e-05
91 1 7.2077918 0.00065703481
92 19 5.5864735 0.00026387937
93 11 2.2065425 0.00025368985
94 10 5.5365367 0.00059999165
95 1 7.2438955 0.00018915776
96 9997 -9.891098 0.00017636536
97 16 -3.9758434 2.9823077e-05
98 13 -7.2587533 6.4250547e-05
99 11 2.1994064 0.0016270933
100 5 -1.6459486 0.00027252696
101 9997 -5.2509775 0.00061077107
102 18 1.2746459 1.6292552e-05
103 1 7.2121439 0.00046218734
104 18 1.2843218 1.5105492e-05
105 16 -3.9654884 6.5192879e-05
106 5 -1.6353439 3.748557e-05
107 5 -1.6288276 2.1522792e-05
108 2 -1.7606955 1.8915996e-05
109 18 1.2664602 0.00010719078
110 14 4.6363664 1.5193406e-05
